State.Province,merged_clade,collection_date
Pennsylvania,H3.cluster_iva-N2.2002A,2013
Minnesota,H3.cluster_ivb-N2.2002B,2013
Minnesota,H1.delta1b-N2.2002A,2013
Indiana,H3.cluster_ive-N2.2002A,2013
Maryland,H3.cluster_iva-N2.2002B,2013
Minnesota,H3.cluster_ivb-N2.2002B,2013
Indiana,H3.cluster_iva-N2.2002B,2013
Iowa,H1.delta1b-N2.2002A,2013
Nebraska,H1.delta1b-N2.2002B,2013
Indiana,H3.cluster_iva-N2.2002B,2013
Indiana,H1.delta1b-N2.2002A,2013
Minnesota,H1.delta1b-N2.2002A,2013
South Dakota,H1.delta1b-N2.1998A,2013
South Dakota,H1.delta1b-N2.1998A,2013
Indiana,H3.cluster_iva-N2.2002B,2013
Indiana,H3.cluster_ivc-N2.2002B,2013
Virginia,H1.pdmh1-N2.2002,2013
Wyoming,H3.cluster_iva-N2.2002A,2013
Wyoming,H3.cluster_iva-N2.2002A,2013
Illinois,H1.delta1b-N2.2002A,2013
Iowa,H3.cluster_ivb-N2.2002B,2013
Iowa,H3.cluster_ivb-N2.2002B,2013
Kansas,H1.delta1a-N2.2002A,2013
Michigan,H3.cluster_iva-N2.2002B,2013
North Carolina,H1.delta2-N2.2002B,2013
North Carolina,H1.delta2-N2.2002B,2013
North Carolina,H1.delta2-N2.1998B,2013
Illinois,H1.delta1b-N2.2002A,2013
Nebraska,H1.delta1a-N2.2002A,2013
Minnesota,H1.delta1b-N2.2002A,2013
Nebraska,H1.delta1b-N2.2002B,2013
Illinois,H1.delta1b-N2.2002A,2013
South Dakota,H1.delta1a-N2.2002A,2013
Kentucky,H3.cluster_iva-N2.2002B,2013
Wyoming,H3.cluster_iva-N2.2002A,2013
Wyoming,H3.cluster_iva-N2.2002A,2013
Minnesota,H3.cluster_ivc-N2.2002B,2013
Illinois,H1.delta1b-N2.2002A,2013
South Dakota,H1.delta1a-N2.2002A,2013
Iowa,H3.cluster_iva-N2.2002B,2013
South Dakota,H1.delta1a-N2.2002A,2013
South Dakota,H3.cluster_iva-N2.2002B,2013
South Dakota,H1.delta1a-N2.2002A,2013
Illinois,H1.delta1b-N2.2002A,2013
Illinois,H3.cluster_iva-N2.2002B,2013
Iowa,H3.cluster_ivb-N2.2002B,2013
Iowa,H1.delta1b-N2.2002A,2013
Iowa,H3.cluster_iva-N2.2002B,2013
Iowa,H3.cluster_ivb-N2.2002B,2013
Iowa,H3.cluster_iva-N2.2002B,2013
North Carolina,H1.delta1b-N2.2002A,2013
North Carolina,H3.cluster_iva-N2.2002B,2013
Minnesota,H3.cluster_iva-N2.2002B,2013
Illinois,H1.delta1b-N2.2002A,2013
Minnesota,H1.delta1b-N2.2002B,2013
Nebraska,H1.delta1a-N2.2002A,2013
South Dakota,H1.delta1b-N2.1998A,2013
Minnesota,H1.delta1b-N2.2002B,2013
Nebraska,H1.delta1b-N2.2002B,2013
Minnesota,H1.delta1b-N2.2002B,2013
Ohio,H1.delta2-N2.2002A,2013
Minnesota,H1.delta1b-N2.2002A,2013
Indiana,H1.delta1b-N2.2002A,2013
Indiana,H3.cluster_iva-N2.2002B,2013
Minnesota,H3.cluster_ivb-N2.2002B,2013
Indiana,H3.cluster_iva-N2.2002B,2013
Indiana,H3.cluster_iva-N2.2002B,2013
Wyoming,H3.cluster_iva-N2.2002A,2013
Wyoming,H3.cluster_iva-N2.2002A,2013
Illinois,H1.delta1b-N2.2002A,2013
Illinois,H1.delta1b-N2.2002A,2013
Iowa,H3.cluster_iva-N2.2002A,2013
Iowa,H1.delta1b-N2.2002A,2013
Iowa,H1.delta1b-N2.2002A,2013
Iowa,H3.cluster_iva-N2.2002B,2013
Iowa,H1.delta1b-N2.2002A,2013
Iowa,H3.cluster_iva-N2.2002B,2013
Minnesota,H1.delta1b-N2.2002A,2013
Missouri,H1.beta-N2.2002A,2013
Nebraska,H3.cluster_iva-N2.2002A,2013
Nebraska,H1.delta1b-N2.2002B,2013
Ohio,H3.cluster_iva-N2.2002B,2013
Minnesota,H3.cluster_iva-N2.2002B,2013
Minnesota,H1.delta1b-N2.2002A,2013
Iowa,H3.cluster_ivb-N2.2002B,2013
Ohio,H3.cluster_iva-N2.2002B,2013
Ohio,H3.cluster_iva-N2.2002B,2013
Iowa,H3.cluster_iv-N2.2002B,2013
Illinois,H1.delta1b-N2.2002A,2013
Illinois,H1.delta1b-N2.2002A,2013
Illinois,H1.delta1b-N2.2002A,2013
Illinois,H3.cluster_ivb-N2.2002B,2013
Illinois,H1.delta1b-N2.2002A,2013
Illinois,H1.delta1b-N2.2002A,2013
Illinois,H1.delta1b-N2.2002A,2013
Illinois,H1.delta1b-N2.2002A,2013
Illinois,H1.delta1a-N2.2002A,2013
Illinois,H1.delta1b-N2.2002A,2013
Illinois,H1.delta1b-N2.2002A,2013
Illinois,H1.delta1b-N2.2002A,2013
Indiana,H3.cluster_iva-N2.2002B,2013
Iowa,H3.cluster_iva-N2.2002B,2013
Iowa,H1.gamma-N2.2002B,2013
Minnesota,H3.cluster_ivb-N2.2002B,2013
North Carolina,H1.delta1b-N2.2002A,2013
North Carolina,H1.delta1b-N2.2002A,2013
North Carolina,H1.delta2-N2.1998B,2013
North Carolina,H1.delta1b-N2.2002A,2013
North Carolina,H3.cluster_iva-N2.2002B,2013
North Carolina,H3.cluster_iva-N2.2002B,2013
Virginia,H3.cluster_iva-N2.2002A,2013
Illinois,H1.delta1b-N2.2002A,2013
Illinois,H3.cluster_iva-N2.2002A,2013
Indiana,H1.delta1b-N2.2002A,2013
Indiana,H3.cluster_iva-N2.2002B,2013
Nebraska,H3.cluster_ivf-N2.1998A,2013
Minnesota,H1.delta1b-N2.2002A,2013
Illinois,H1.delta1b-N2.2002A,2013
Indiana,H3.cluster_iva-N2.2002B,2013
Indiana,H3.cluster_iva-N2.2002B,2013
Michigan,H3.cluster_iva-N2.2002B,2013
Nebraska,H1.delta1b-N2.2002A,2013
Ohio,H3.cluster_iva-N2.2002B,2013
Iowa,H3.cluster_iva-N2.2002B,2013
Iowa,H3.cluster_iva-N2.2002B,2013
Iowa,H3.cluster_iva-N2.2002B,2013
Iowa,H1.delta1b-N2.2002A,2013
Iowa,H3.cluster_iva-N2.2002B,2013
Iowa,H3.cluster_iva-N2.2002B,2013
Iowa,H3.cluster_iva-N2.2002B,2013
Iowa,H3.cluster_iva-N2.2002B,2013
Iowa,H3.cluster_iva-N2.2002B,2013
Iowa,H3.cluster_iva-N2.2002B,2013
Iowa,H3.cluster_iva-N2.2002B,2013
Iowa,H3.cluster_iva-N2.2002B,2013
Iowa,H3.cluster_iva-N2.2002B,2013
Iowa,H3.cluster_iva-N2.2002B,2013
Illinois,H1.delta1b-N2.2002A,2013
Illinois,H1.delta1b-N2.2002A,2013
Illinois,H1.delta1b-N2.2002A,2013
Illinois,H1.delta1b-N2.2002A,2013
Iowa,H3.cluster_ivb-N2.2002B,2013
Iowa,H3.cluster_iv-N2.2002B,2013
Iowa,H3.cluster_iva-N2.2002B,2013
North Carolina,H3.cluster_iva-N2.2002B,2013
North Carolina,H3.cluster_iva-N2.2002B,2013
North Carolina,H1.delta1b-N2.2002A,2013
North Carolina,H1.delta1b-N2.2002A,2013
North Carolina,H1.delta1b-N2.2002A,2013
North Carolina,H1.gamma-N2.2002B,2013
North Carolina,H1.delta1b-N2.2002A,2013
North Carolina,H3.cluster_iva-N2.2002B,2013
Illinois,H1.delta1b-N2.2002A,2013
Illinois,H1.delta1b-N2.2002A,2013
North Carolina,H3.cluster_iva-N2.2002B,2013
Minnesota,H1.delta1a-N2.2002A,2013
Nebraska,H1.delta1b-N2.2002B,2013
Minnesota,H3.cluster_ivb-N2.2002B,2013
Iowa,H3.cluster_iva-N2.2002B,2013
Minnesota,H3.cluster_iva-N2.2002B,2013
Iowa,H1.delta1b-N2.2002A,2013
Nebraska,H1.delta1b-N2.2002B,2013
Minnesota,H3.cluster_iva-N2.2002B,2013
Illinois,H1.delta1b-N2.2002A,2013
Minnesota,H3.cluster_iva-N2.2002B,2013
Illinois,H3.cluster_iva-N2.2002B,2013
Iowa,H3.cluster_iva-N2.2002B,2013
Illinois,H3.cluster_iva-N2.2002A,2013
Illinois,H3.cluster_ivc-N2.2002B,2013
Illinois,H1.delta1b-N2.2002A,2013
Illinois,H1.delta1b-N2.2002A,2013
Illinois,H1.delta1b-N2.2002A,2013
Indiana,H1.delta1b-N2.2002A,2013
Iowa,H3.cluster_ivb-N2.2002B,2013
Iowa,H3.cluster_iv-N2.2002A,2013
Minnesota,H1.delta1a-N2.2002A,2013
Nebraska,H1.delta1b-N2.2002A,2013
North Carolina,H1.delta1b-N2.2002A,2013
North Carolina,H1.delta2-N2.1998B,2013
North Carolina,H1.delta1b-N2.2002A,2013
North Carolina,H3.cluster_iva-N2.2002B,2013
Oklahoma,H1.delta1b-N2.2002A,2013
Oklahoma,H1.delta1b-N2.2002A,2013
Oklahoma,H1.delta1b-N2.2002A,2013
Oklahoma,H1.delta1b-N2.2002A,2013
Unknown,H3.cluster_iva-N2.2002B,2013
Illinois,H3.cluster_iva-N2.2002B,2013
Illinois,H3.cluster_iva-N2.2002B,2013
Minnesota,H3.cluster_ivb-N2.2002B,2013
Minnesota,H3.cluster_ivf-N2.1998A,2013
Unknown,H1.delta1b-N2.1998A,2013
Indiana,H3.cluster_iva-N2.2002B,2013
Minnesota,H1.alpha-N2.2002B,2013
South Dakota,H1.delta1a-N2.2002A,2013
Kansas,H1.delta1a-N2.2002A,2013
Kansas,H3.cluster_iva-N2.2002B,2013
Kansas,H1.delta1b-N2.2002A,2013
Iowa,H1.delta1b-N2.2002A,2013
Minnesota,H3.cluster_iva-N2.2002B,2013
South Dakota,H1.delta1b-N2.1998A,2013
Minnesota,H1.delta1b-N2.2002A,2013
Iowa,H3.cluster_iva-N2.2002B,2013
Minnesota,H3.cluster_ivb-N2.2002B,2013
Nebraska,H1.delta1a-N2.2002A,2013
Nebraska,H3.cluster_iva-N2.2002A,2013
Nebraska,H1.delta1b-N2.2002A,2013
Iowa,H3.cluster_iva-N2.2002B,2013
Minnesota,H3.cluster_ivb-N2.2002B,2013
Iowa,H1.delta1b-N2.2002A,2013
Nebraska,H1.delta1a-N2.2002A,2013
Nebraska,H3.cluster_iva-N2.2002A,2013
North Carolina,H1.delta2-N2.2002B,2013
Illinois,H1.delta1b-N2.2002A,2013
Illinois,H1.delta1b-N2.2002A,2013
Illinois,H1.delta1b-N2.2002B,2013
Illinois,H1.delta1b-N2.2002A,2013
Illinois,H1.delta1b-N2.2002A,2013
Illinois,H1.delta1b-N2.2002A,2013
Illinois,H1.gamma-N2.2002A,2013
Indiana,H3.cluster_iva-N2.2002B,2013
Iowa,H3.cluster_iva-N2.2002B,2013
Iowa,H3.cluster_iva-N2.2002A,2013
Iowa,H1.delta1b-N2.2002B,2013
Iowa,H1.delta1b-N2.2002A,2013
Iowa,H3.cluster_iva-N2.2002A,2013
Iowa,H3.cluster_iva-N2.2002B,2013
Iowa,H3.cluster_iva-N2.2002B,2013
Iowa,H1.delta1b-N2.2002A,2013
Iowa,H3.cluster_iva-N2.2002B,2013
Minnesota,H3.cluster_ivf-N2.1998A,2013
Minnesota,H3.cluster_ivf-N2.1998A,2013
Minnesota,H3.cluster_ivb-N2.2002B,2013
Minnesota,H3.cluster_iva-N2.2002B,2013
North Carolina,H3.cluster_iva-N2.2002B,2013
North Carolina,H1.delta1b-N2.2002A,2013
North Carolina,H1.delta2-N2.1998B,2013
North Carolina,H3.cluster_iva-N2.2002B,2013
North Carolina,H1.delta1b-N2.2002A,2013
North Carolina,H1.delta1b-N2.2002A,2013
North Carolina,H1.delta2-N2.1998B,2013
North Carolina,H3.cluster_iva-N2.2002B,2013
North Carolina,H3.cluster_iva-N2.2002B,2013
North Carolina,H1.delta2-N2.1998B,2013
North Carolina,H3.cluster_iva-N2.2002B,2013
North Carolina,H1.delta2-N2.1998B,2013
North Carolina,H1.gamma-N2.2002B,2013
North Carolina,H1.delta1b-N2.2002A,2013
North Carolina,H3.cluster_iva-N2.2002B,2013
North Carolina,H1.delta2-N2.1998B,2013
North Carolina,H1.delta2-N2.1998B,2013
North Carolina,H1.delta1b-N2.2002A,2013
North Carolina,H3.cluster_iva-N2.2002B,2013
North Carolina,H3.cluster_iva-N2.2002B,2013
Oklahoma,H1.delta1b-N2.2002A,2013
Unknown,H3.cluster_iva-N2.2002B,2013
Illinois,H3.cluster_iva-N2.2002B,2013
North Carolina,H1.delta1b-N2.2002A,2013
Illinois,H3.cluster_ive-N2.2002A,2013
Minnesota,H1.delta1a-N2.2002A,2013
Indiana,H1.delta1b-N2.2002A,2013
Indiana,H3.cluster_iva-N2.2002B,2013
Minnesota,H1.delta1a-N2.2002A,2013
Minnesota,H1.delta1b-N2.2002A,2013
Minnesota,H1.delta1a-N2.2002B,2013
Iowa,H3.cluster_iva-N2.2002B,2013
Minnesota,H3.cluster_iva-N2.2002B,2013
Nebraska,H3.cluster_iva-N2.2002A,2013
Oklahoma,H1.delta1b-N2.2002A,2013
Minnesota,H3.cluster_ivb-N2.2002B,2013
Minnesota,H1.delta1b-N2.1998A,2013
Minnesota,H3.cluster_iva-N2.2002B,2013
Maryland,H3.cluster_iva-N2.2002B,2013
South Dakota,H3.cluster_iva-N2.2002A,2013
Illinois,H1.delta1a-N2.2002A,2013
Illinois,H3.cluster_iva-N2.2002B,2013
Illinois,H3.cluster_iva-N2.2002B,2013
Illinois,H3.cluster_iva-N2.2002B,2013
Illinois,H1.delta1b-N2.2002A,2013
Iowa,H3.cluster_ivb-N2.2002B,2013
Iowa,H3.cluster_iva-N2.2002B,2013
Iowa,H1.delta1b-N2.2002A,2013
North Carolina,H1.delta2-N2.1998B,2013
North Carolina,H1.delta1b-N2.2002A,2013
North Carolina,H3.cluster_iva-N2.2002B,2013
North Carolina,H1.gamma-N2.1998B,2013
Kansas,H1.delta1b-N2.2002A,2013
Kansas,H3.cluster_iva-N2.2002B,2013
Kansas,H3.cluster_iva-N2.2002B,2013
Nebraska,H3.cluster_iva-N2.2002A,2013
North Carolina,H1.delta2-N2.1998B,2013
South Dakota,H3.cluster_iva-N2.2002B,2013
South Dakota,H3.cluster_ivb-N2.2002B,2013
Minnesota,H1.delta1b-N2.2002A,2013
Minnesota,H1.delta1b-N2.2002A,2013
Nebraska,H3.cluster_iva-N2.2002B,2013
Nebraska,H3.cluster_iva-N2.2002B,2013
Illinois,H3.cluster_ivb-N2.2002B,2013
Unknown,H1.delta1b-N2.1998A,2013
Illinois,H3.cluster_iva-N2.2002B,2013
Nebraska,H3.cluster_iva-N2.2002B,2013
Illinois,H3.cluster_iva-N2.2002B,2013
Illinois,H3.cluster_iva-N2.2002B,2013
Minnesota,H1.delta1b-N2.2002A,2013
Nebraska,H3.cluster_iva-N2.2002A,2013
Illinois,H3.cluster_iva-N2.2002B,2013
North Carolina,H1.delta1b-N2.2002B,2013
Unknown,H1.delta1b-N2.1998A,2013
Illinois,H3.cluster_iva-N2.2002B,2013
Minnesota,H3.cluster_iva-N2.2002A,2013
Minnesota,H1.delta1a-N2.2002A,2013
Illinois,H3.cluster_iva-N2.2002B,2013
Minnesota,H3.cluster_ivb-N2.2002B,2013
Minnesota,H3.cluster_ivb-N2.2002B,2013
Nebraska,H1.delta1b-N2.2002A,2013
Illinois,H1.delta1b-N2.2002A,2014
Illinois,H1.delta1b-N2.2002A,2014
Illinois,H3.cluster_iva-N2.2002A,2014
Illinois,H1.delta1b-N2.2002A,2014
Illinois,H3.cluster_iva-N2.2002B,2014
Illinois,H3.cluster_iva-N2.2002B,2014
Illinois,H1.gamma-N2.2002B,2014
Illinois,H3.cluster_ivb-N2.2002B,2014
Illinois,H1.pdmh1-N2.2002B,2014
Minnesota,H1.delta1a-N2.2002A,2014
Missouri,H1.delta1a-N2.2002A,2014
North Carolina,H3.cluster_iva-N2.2002B,2014
North Carolina,H3.cluster_iva-N2.2002B,2014
North Carolina,H3.cluster_iva-N2.2002B,2014
Oklahoma,H1.delta2-N2.1998B,2014
Indiana,H3.cluster_iva-N2.2002B,2014
Nebraska,H1.delta1b-N2.2002A,2014
Nebraska,H1.delta1b-N2.2002A,2014
Illinois,H3.cluster_iva-N2.2002B,2014
Minnesota,H1.delta1b-N2.2002A,2014
Nebraska,H1.delta1b-N2.2002A,2014
Nebraska,H1.delta1b-N2.2002A,2014
Iowa,H3.cluster_iva-N2.2002B,2014
Indiana,H3.cluster_iva-N2.2002B,2014
Texas,H1.delta1b-N2.2002A,2014
Illinois,H3.cluster_ive-N2.2002A,2014
Indiana,H1.delta1b-N2.2002A,2014
Indiana,H1.delta1b-N2.2002A,2014
Nebraska,H3.cluster_iva-N2.2002B,2014
Indiana,H1.delta1b-N2.2002A,2014
Indiana,H1.delta1b-N2.2002A,2014
Indiana,H3.cluster_iva-N2.2002B,2014
Minnesota,H3.cluster_iva-N2.2002B,2014
Illinois,H1.delta1b-N2.2002A,2014
Illinois,H3.cluster_iva-N2.2002B,2014
Illinois,H3.cluster_iva-N2.2002A,2014
Illinois,H1.delta1b-N2.2002A,2014
Illinois,H3.cluster_iva-N2.2002B,2014
Illinois,H1.delta1b-N2.2002A,2014
Illinois,H1.delta1b-N2.2002A,2014
Illinois,H3.cluster_iva-N2.2002B,2014
Illinois,H3.cluster_iva-N2.2002B,2014
Illinois,H3.cluster_iva-N2.2002B,2014
Illinois,H3.cluster_iva-N2.2002A,2014
Illinois,H1.delta1b-N2.2002A,2014
Illinois,H1.delta1b-N2.2002A,2014
Indiana,H3.cluster_iva-N2.2002B,2014
Iowa,H1.delta1b-N2.2002A,2014
North Carolina,H3.cluster_iva-N2.2002B,2014
North Carolina,H1.delta2-N2.1998B,2014
Oklahoma,H1.delta1b-N2.2002A,2014
Illinois,H1.delta1a-N2.2002A,2014
Nebraska,H3.cluster_iva-N2.2002B,2014
Minnesota,H3.cluster_iva-N2.2002A,2014
Iowa,H3.cluster_iva-N2.2002B,2014
Illinois,H3.cluster_iva-N2.2002B,2014
Nebraska,H1.delta1a-N2.2002A,2014
Minnesota,H3.cluster_iva-N2.2002A,2014
South Dakota,H3.cluster_iva-N2.2002B,2014
Illinois,H3.cluster_ivb-N2.2002B,2014
Illinois,H3.cluster_ivb-N2.2002B,2014
Illinois,H1.delta1b-N2.2002A,2014
Illinois,H3.cluster_iva-N2.2002B,2014
Illinois,H3.cluster_iva-N2.2002B,2014
Illinois,H3.cluster_iva-N2.2002B,2014
Illinois,H1.delta1b-N2.2002A,2014
Illinois,H3.cluster_iv-N2.2002A,2014
Illinois,H1.delta1b-N2.2002A,2014
Illinois,H3.cluster_iva-N2.2002B,2014
Illinois,H3.cluster_iva-N2.2002B,2014
Indiana,H3.cluster_iva-N2.2002B,2014
Iowa,H1.delta1b-N2.2002A,2014
Iowa,H1.delta1b-N2.2002A,2014
Iowa,H1.delta1b-N2.2002A,2014
Iowa,H1.delta1b-N2.2002A,2014
Iowa,H1.delta1b-N2.2002B,2014
Iowa,H1.delta1b-N2.2002A,2014
Missouri,H3.cluster_iv-N2.2002A,2014
North Carolina,H3.cluster_iva-N2.2002B,2014
North Carolina,H1.delta2-N2.2002B,2014
North Carolina,H1.delta2-N2.2002B,2014
North Carolina,H3.cluster_iva-N2.2002B,2014
North Carolina,H1.delta2-N2.1998B,2014
North Carolina,H3.cluster_iva-N2.2002B,2014
North Carolina,H3.cluster_iva-N2.2002B,2014
North Carolina,H3.cluster_iva-N2.2002A,2014
North Carolina,H1.delta2-N2.1998B,2014
Nebraska,H1.delta1a-N2.2002A,2014
Kansas,H3.cluster_iva-N2.2002A,2014
Minnesota,H3.cluster_iva-N2.2002A,2014
Illinois,H3.cluster_ive-N2.2002A,2014
Illinois,H3.cluster_iva-N2.2002B,2014
Illinois,H3.cluster_ive-N2.2002A,2014
Indiana,H3.cluster_iva-N2.2002B,2014
Iowa,H3.cluster_iva-N2.2002B,2014
Kansas,H1.delta1a-N2.2002A,2014
North Carolina,H1.delta2-N2.1998B,2014
Illinois,H3.cluster_ive-N2.2002A,2014
Minnesota,H3.cluster_iva-N2.2002B,2014
Nebraska,H3.cluster_iva-N2.2002A,2014
Nebraska,H1.delta1a-N2.2002A,2014
Illinois,H3.cluster_iva-N2.2002A,2014
Illinois,H1.delta1b-N2.2002A,2014
Illinois,H3.cluster_iva-N2.2002B,2014
Illinois,H3.cluster_iva-N2.2002B,2014
Illinois,H3.cluster_iva-N2.2002B,2014
Iowa,H3.cluster_iva-N2.2002B,2014
Iowa,H1.delta1b-N2.2002A,2014
Iowa,H3.cluster_iva-N2.2002B,2014
Iowa,H1.delta1b-N2.2002A,2014
Iowa,H1.delta1a-N2.2002A,2014
Iowa,H3.cluster_iva-N2.2002B,2014
Kansas,H1.delta1a-N2.2002A,2014
North Carolina,H1.delta2-N2.1998B,2014
North Carolina,H1.delta2-N2.2002B,2014
North Carolina,H3.cluster_iva-N2.2002B,2014
North Carolina,H3.cluster_iva-N2.2002B,2014
North Carolina,H1.delta1b-N2.2002A,2014
North Carolina,H3.cluster_iva-N2.2002B,2014
North Carolina,H1.delta2-N2.1998B,2014
North Carolina,H3.cluster_iva-N2.2002B,2014
North Carolina,H3.cluster_iva-N2.2002B,2014
North Carolina,H3.cluster_iva-N2.2002B,2014
North Carolina,H3.cluster_iva-N2.2002B,2014
North Carolina,H3.cluster_iva-N2.2002B,2014
North Carolina,H3.cluster_iva-N2.2002B,2014
South Dakota,H1.delta1b-N2.1998A,2014
Iowa,H3.cluster_iva-N2.2002B,2014
Minnesota,H1.delta1a-N2.2002A,2014
South Dakota,H3.cluster_ivd-N2.2002B,2014
Indiana,H3.cluster_iva-N2.2002B,2014
Missouri,H3.cluster_iva-N2.2002B,2014
Missouri,H3.cluster_iva-N2.2002B,2014
Illinois,H3.cluster_iva-N2.2002B,2014
Nebraska,H1.delta1a-N2.2002A,2014
Iowa,H1.delta1a-N2.2002A,2014
Nebraska,H3.cluster_iva-N2.2002A,2014
Illinois,H3.cluster_iva-N2.2002B,2014
Illinois,H3.cluster_iva-N2.2002B,2014
Illinois,H3.cluster_iva-N2.2002B,2014
Minnesota,H3.cluster_iva-N2.2002B,2014
Nebraska,H1.delta1a-N2.2002A,2014
Iowa,H3.cluster_ivb-N2.2002B,2014
Nebraska,H1.delta1a-N2.2002A,2014
Nebraska,H1.delta1a-N2.2002A,2014
Minnesota,H3.cluster_iva-N2.2002B,2014
Nebraska,H1.delta1a-N2.2002A,2014
Illinois,H3.cluster_iva-N2.2002B,2014
Illinois,H1.delta1b-N2.2002A,2014
Indiana,H3.cluster_iva-N2.2002B,2014
Iowa,H3.cluster_iva-N2.2002B,2014
Iowa,H1.delta1b-N2.2002A,2014
Iowa,H1.delta1b-N2.2002A,2014
Iowa,H3.cluster_iva-N2.2002B,2014
Iowa,H3.cluster_iva-N2.2002B,2014
Iowa,H3.cluster_iva-N2.2002B,2014
Iowa,H3.cluster_iva-N2.2002B,2014
Minnesota,H3.cluster_iva-N2.2002B,2014
Minnesota,H1.delta1a-N2.2002B,2014
Minnesota,H1.delta1a-N2.2002A,2014
North Carolina,H3.cluster_iva-N2.2002B,2014
North Carolina,H3.cluster_iva-N2.2002B,2014
North Carolina,H1.delta1b-N2.2002A,2014
North Carolina,H3.cluster_iva-N2.2002B,2014
North Carolina,H3.cluster_iva-N2.2002B,2014
North Carolina,H1.delta2-N2.2002B,2014
North Carolina,H3.cluster_iva-N2.2002B,2014
North Carolina,H3.cluster_iva-N2.2002B,2014
North Carolina,H1.delta2-N2.1998B,2014
Unknown,H3.cluster_iva-N2.2002B,2014
Unknown,H1.delta1b-N2.2002A,2014
Unknown,H3.cluster_iva-N2.2002B,2014
Unknown,H1.delta1b-N2.2002A,2014
Iowa,H3.cluster_ivb-N2.2002B,2014
Indiana,H1.delta1b-N2.2002A,2014
Nebraska,H3.cluster_iva-N2.2002A,2014
Nebraska,H1.delta1b-N2.2002A,2014
Iowa,H3.cluster_iva-N2.2002B,2014
Iowa,H3.cluster_iva-N2.2002B,2014
Iowa,H3.cluster_iva-N2.2002B,2014
South Dakota,H3.cluster_iva-N2.2002B,2014
Iowa,H3.cluster_iva-N2.2002B,2014
Minnesota,H1.delta1a-N2.2002B,2014
Minnesota,H1.delta1a-N2.2002B,2014
Minnesota,H1.delta1a-N2.2002A,2014
Iowa,H3.cluster_iva-N2.2002B,2014
Indiana,H1.delta1b-N2.2002A,2014
Oklahoma,H3.cluster_iva-N2.2002B,2014
Unknown,H1.delta1b-N2.2002A,2014
Minnesota,H1.delta1a-N2.2002B,2014
Minnesota,H1.delta1a-N2.2002A,2014
Minnesota,H1.delta1a-N2.2002A,2014
Minnesota,H1.delta1a-N2.2002A,2014
Iowa,H3.cluster_iva-N2.2002B,2014
Minnesota,H1.delta1a-N2.2002A,2014
South Dakota,H1.delta1a-N2.2002B,2014
Minnesota,H3.cluster_ivb-N2.2002B,2014
Michigan,H3.cluster_iva-N2.2002B,2014
Nebraska,H3.cluster_iva-N2.2002A,2014
Unknown,H3.cluster_iva-N2.2002B,2014
Iowa,H3.cluster_iva-N2.2002B,2014
Minnesota,H3.cluster_iva-N2.2002B,2014
Illinois,H3.cluster_ivb-N2.2002B,2014
North Carolina,H3.cluster_iva-N2.2002B,2014
South Dakota,H3.cluster_iva-N2.2002B,2014
Illinois,H3.cluster_iva-N2.2002B,2014
Illinois,H3.cluster_iva-N2.2002B,2014
Illinois,H3.cluster_iva-N2.2002B,2014
Illinois,H3.cluster_iva-N2.2002B,2014
Illinois,H3.cluster_iva-N2.2002B,2014
Illinois,H3.cluster_iva-N2.2002B,2014
Illinois,H3.cluster_iva-N2.2002B,2014
Iowa,H3.cluster_iva-N2.2002B,2014
Iowa,H3.cluster_iv-N2.2002A,2014
Nebraska,H3.cluster_iva-N2.2002A,2014
South Dakota,H3.cluster_iva-N2.2002B,2014
Indiana,H1.delta1b-N2.2002A,2014
Iowa,H3.cluster_ivb-N2.2002A,2014
Kansas,H3.cluster_iva-N2.2002B,2014
California,H3.cluster_iva-N2.2002B,2014
Kansas,H1.delta1a-N2.2002A,2014
North Carolina,H3.cluster_iva-N2.2002B,2014
Iowa,H1.delta1b-N2.2002A,2014
Iowa,H1.delta1b-N2.2002A,2014
North Carolina,H1.delta2-N2.1998B,2014
Kansas,H3.cluster_iva-N2.2002B,2014
Kansas,H1.delta2-N2.1998B,2014
Kansas,H1.delta2-N2.1998B,2014
North Carolina,H3.cluster_iva-N2.2002B,2014
North Carolina,H3.cluster_iva-N2.2002B,2014
Minnesota,H3.cluster_iva-N2.2002B,2014
Minnesota,H1.delta1a-N2.2002A,2014
North Carolina,H3.cluster_iva-N2.2002B,2014
Illinois,H3.cluster_ive-N2.2002A,2014
Indiana,H3.cluster_ivb-N2.2002B,2014
North Carolina,H1.delta2-N2.1998B,2014
North Carolina,H1.delta2-N2.1998B,2014
North Carolina,H1.delta2-N2.1998B,2014
Minnesota,H1.gamma-N2.2002B,2014
North Carolina,H1.delta2-N2.1998B,2014
Minnesota,H3.cluster_ivb-N2.2002B,2014
North Carolina,H1.delta2-N2.1998B,2014
Iowa,H1.delta1b-N2.2002A,2014
North Dakota,H3.cluster_ivb-N2.2002B,2014
Nebraska,H3.cluster_iva-N2.2002B,2014
North Carolina,H3.cluster_iva-N2.2002B,2014
North Carolina,H3.cluster_iva-N2.2002B,2014
Iowa,H1.delta1a-N2.2002A,2014
North Carolina,H1.delta2-N2.1998B,2014
North Carolina,H3.cluster_iva-N2.2002B,2014
North Carolina,H3.cluster_iva-N2.2002B,2014
North Carolina,H3.cluster_iva-N2.2002B,2014
South Dakota,H1.delta1a-N2.2002A,2014
Nebraska,H3.cluster_iva-N2.2002A,2014
Illinois,H3.cluster_iva-N2.2002B,2014
